consumption_id,state,region,usage_date,usage_mwh,latitude,longitude
1,Punjab,NR,2019-01-02,119.90,31.519974,75.980003
2,Haryana,NR,2019-01-02,130.30,28.450006,77.019991
3,Rajasthan,NR,2019-01-02,234.10,26.449999,74.639981
4,Delhi,NR,2019-01-02,85.80,28.669993,77.230004
5,UP,NR,2019-01-02,313.90,27.599981,78.050006
6,Uttarakhand,NR,2019-01-02,40.70,30.320409,78.050006
7,HP,NR,2019-01-02,30.00,31.100025,77.166597
8,J&K,NR,2019-01-02,52.50,33.450000,76.240000
9,Chandigarh,NR,2019-01-02,5.00,30.719997,76.780006
10,Chhattisgarh,WR,2019-01-02,78.70,22.090420,82.159987
11,Gujarat,WR,2019-01-02,319.50,22.258700,71.192400
12,MP,WR,2019-01-02,253.00,21.300391,76.130019
13,Maharashtra,WR,2019-01-02,428.60,19.250232,73.160175
14,Goa,WR,2019-01-02,12.80,15.491997,73.818001
15,DNH,WR,2019-01-02,18.60,20.266578,73.016618
16,"Andhra Pradesh",SR,2019-01-02,164.60,14.750429,78.570026
17,Telangana,SR,2019-01-02,204.20,18.112400,79.019300
18,Karnataka,SR,2019-01-02,206.30,12.570381,76.919997
19,Kerala,SR,2019-01-02,72.70,8.900373,76.569993
20,"Tamil Nadu",SR,2019-01-02,268.30,12.920386,79.150042
21,Pondy,SR,2019-01-02,6.30,11.934994,79.830000
22,Bihar,ER,2019-01-02,82.30,25.785414,87.479973
23,Jharkhand,ER,2019-01-02,24.80,23.800393,86.419986
24,Odisha,ER,2019-01-02,70.20,19.820430,85.900017
25,"West Bengal",ER,2019-01-02,108.20,22.580390,88.329947
26,Sikkim,ER,2019-01-02,2.00,27.333330,88.616648
27,"Arunachal Pradesh",NER,2019-01-02,2.10,27.100399,93.616601
28,Assam,NER,2019-01-02,21.70,26.749981,94.216667
29,Manipur,NER,2019-01-02,2.70,24.799971,93.950017
30,Meghalaya,NER,2019-01-02,6.10,25.570492,91.880014
31,Mizoram,NER,2019-01-02,1.90,23.710399,92.720015
32,Nagaland,NER,2019-01-02,2.20,25.666998,94.116570
33,Tripura,NER,2019-01-02,3.40,23.835404,91.279999
